zip,state,latitude,longitude,county
85246,AZ,33.29,-111.86,maricopa
85247,AZ,33.1,-111.75,pinal
85248,AZ,33.24,-111.96,maricopa
85249,AZ,33.24,-111.78,maricopa
85250,AZ,33.53,-111.89,maricopa
85251,AZ,33.49,-111.92,maricopa
85252,AZ,33.479999999999997,-111.92,maricopa
85253,AZ,33.54,-111.96,maricopa
85254,AZ,33.61,-111.94,maricopa
85255,AZ,33.659999999999997,-111.87,maricopa
85256,AZ,33.5,-111.79,maricopa
85257,AZ,33.46,-111.92,maricopa
85258,AZ,33.56,-111.9,maricopa
85259,AZ,33.68,-111.73,maricopa
85260,AZ,33.61,-111.89,maricopa
85261,AZ,33.49,-111.92,maricopa
85262,AZ,33.85,-111.78,maricopa
85263,AZ,33.729999999999997,-111.68,maricopa
85264,AZ,33.75,-111.57,maricopa
85266,AZ,33.479999999999997,-111.92,maricopa
85267,AZ,33.61,-111.89,maricopa
85268,AZ,33.6,-111.74,maricopa
85269,AZ,33.6,-111.71,maricopa
85271,AZ,33.46,-111.91,maricopa
85272,AZ,32.85,-111.97,pinal
85273,AZ,33.28,-111.11,pinal
85274,AZ,33.380000000000003,-111.87,maricopa
85275,AZ,33.450000000000003,-111.76,maricopa
85277,AZ,33.450000000000003,-111.72,maricopa
85278,AZ,33.409999999999997,-111.54,pinal
85279,AZ,32.79,-111.21,pinal
85280,AZ,33.4,-111.92,maricopa
85281,AZ,33.43,-111.91,maricopa
85282,AZ,33.4,-111.92,maricopa
85283,AZ,33.36,-111.93,maricopa
85284,AZ,33.33,-111.93,maricopa
85285,AZ,33.39,-111.93,maricopa
85286,AZ,33.270000000000003,-111.82,maricopa
85287,AZ,33.42,-111.93,maricopa
85289,AZ,33.4,-111.96,maricopa
85290,AZ,33.450000000000003,-111.63,maricopa
85291,AZ,32.99,-111.44,pinal
85292,AZ,32.94,-110.72,pinal
85293,AZ,32.85,-111.79,pinal
85294,AZ,32.92,-111.61,pinal
85295,AZ,33.299999999999997,-111.74,maricopa
85296,AZ,33.299999999999997,-111.76,maricopa
85297,AZ,33.26,-111.71,maricopa
85298,AZ,33.24,-111.7,maricopa
85299,AZ,33.33,-111.76,maricopa
85301,AZ,33.53,-112.18,maricopa
85302,AZ,33.57,-112.18,maricopa
85303,AZ,33.53,-112.22,maricopa
85304,AZ,33.590000000000003,-112.17,maricopa
85305,AZ,33.53,-112.26,maricopa
85306,AZ,33.619999999999997,-112.17,maricopa
85307,AZ,33.53,-112.31,maricopa
85308,AZ,33.659999999999997,-112.18,maricopa
